X,Y,ROAD,ROAD_NAME,COMMON_USAGE_NAME,SLK,CWY,TRUE_DIST,NETWORK_TYPE,RA_NO,RA_NAME,LG_NO,LG_NAME,XSP,DATE_APPROVED,DATE_INSTALLED,ASSET_NO,PANEL_COUNT,PANEL_01_DESIGN,PANEL_01_DESIGN_MEANING,PANEL_02_DESIGN,PANEL_02_DESIGN_MEANING,PANEL_03_DESIGN,PANEL_03_DESIGN_MEANING,PANEL_04_DESIGN,PANEL_04_DESIGN_MEANING,LATITUDE,LONGITUDE,REGULATORY_SIGN_TYPE,ROUTE_NE_ID,OBJECTID,PANEL_01_COMMENT,PANEL_02_COMMENT,PANEL_03_COMMENT,PANEL_04_COMMENT,GlobalID
121.694426,-33.105791,6040079,Guests Rd,Guests Rd,0.05,Single,0.05,Local Road,5,Goldfields - Esperance,604,Esperance,Verge,,,0,2,R6-24A,RAILWAY CROSSING (POSITION) (1350 X 178 - EACH CROSSARM),R1-1B,STOP (750 X 750),,,,,-33.105791,121.694426,Other,218086,22195748,,,,,{F215C0CF-11C6-4189-ADB4-B0F20F34DE51}
121.69459,-33.105801,6040079,Guests Rd,Guests Rd,0.06,Single,0.06,Local Road,5,Goldfields - Esperance,604,Esperance,Verge,,,0,2,R6-24A,RAILWAY CROSSING (POSITION) (1350 X 178 - EACH CROSSARM),R1-1B,STOP (750 X 750),,,,,-33.105801,121.69459,Other,218086,22195749,,,,,{EDC0F83C-D421-4887-B1D6-6BAA17A73602}
121.683619,-33.075319,6040555,Circle Valley Rd,Circle Valley Rd,0.03,Single,0.03,Local Road,5,Goldfields - Esperance,604,Esperance,Verge,,,0,2,R6-24A,RAILWAY CROSSING (POSITION) (1350 X 178 - EACH CROSSARM),R1-1B,STOP (750 X 750),,,,,-33.075319,121.683619,Other,208535,22195750,,,,,{A59E675B-197B-4FE5-897C-D32CD5D3C032}
121.680455,-33.066177,6040553,Starcevich Rd,Starcevich Rd,0.03,Single,0.03,Local Road,5,Goldfields - Esperance,604,Esperance,Verge,,,0,2,R6-24A,RAILWAY CROSSING (POSITION) (1350 X 178 - EACH CROSSARM),R1-1B,STOP (750 X 750),,,,,-33.066177,121.680455,Other,240200,22195751,,,,,{6F2800C3-1E3C-4051-AF67-76C633327BBD}
121.680622,-33.066155,6040553,Starcevich Rd,Starcevich Rd,0.05,Single,0.05,Local Road,5,Goldfields - Esperance,604,Esperance,Verge,,,0,2,R6-24A,RAILWAY CROSSING (POSITION) (1350 X 178 - EACH CROSSARM),R1-1B,STOP (750 X 750),,,,,-33.066155,121.680622,Other,240200,22195752,,,,,{83BC80EC-A410-4064-8ECF-14DDCEE37429}
121.77677,-32.18099,H010,Coolgardie Esperance Hwy,Coolgardie Esperance Hwy,163.78,Single,163.89,State Road,5,Goldfields - Esperance,603,Dundas,Left,,,,1,R2-6B(L),NO LEFT TURN (600 X 600),,,,,,,-32.18099,121.77677,Other,247618,22195753,NO LEFT TURN SYMBOL,,,,{3D2511C8-9365-49E5-9857-6BBCAC71BFFD}
121.77696,-32.18146,H010,Coolgardie Esperance Hwy,Coolgardie Esperance Hwy,163.89,Single,164,State Road,5,Goldfields - Esperance,603,Dundas,Left,,,,1,R2-4B,NO ENTRY (600 X 600),,,,,,,-32.18146,121.77696,Other,247618,22195754,NO ENTRY,,,,{7CA894F4-7045-4484-8140-77092F38B3CA}
121.77709,-32.18173,H010,Coolgardie Esperance Hwy,Coolgardie Esperance Hwy,163.86,Single,163.97,State Road,5,Goldfields - Esperance,603,Dundas,Left,,,,1,R2-4B,NO ENTRY (600 X 600),,,,,,,-32.18173,121.77709,Other,247618,22195755,NO ENTRY,,,,{6D6319C0-50D9-4487-A5EE-33CC9E261294}
121.77715,-32.18187,H010,Coolgardie Esperance Hwy,Coolgardie Esperance Hwy,163.88,Single,163.99,State Road,5,Goldfields - Esperance,603,Dundas,Right,,,,1,R2-6B(R),NO RIGHT TURN (600 X 600),,,,,,,-32.18187,121.77715,Other,247618,22195756,NO RIGHT TURN SYMBOL,,,,{2B8C8056-21A5-4777-9E5F-966645D25555}
121.158963,-30.841626,6020002,Coolgardie North Rd,Coolgardie North Rd,13.25,Single,13.25,Local Road,5,Goldfields - Esperance,602,Coolgardie,Verge,,,0,2,R6-24A,RAILWAY CROSSING (POSITION) (1350 X 178 - EACH CROSSARM),R6-9,STOP ON RED SIGNAL (450 X 600),,,,,-30.841626,121.158963,Other,209639,22195757,,,,,{0A398D44-C955-4A22-BD8B-5E52EE824585}
